species,miller_h,miller_k,miller_l,n_atoms,thickness_A,area_A2,E_dft_vasp_dft_vasp,gamma_dft_vasp_dft_vasp,E_dft_vasp_mlp_mace,gamma_dft_vasp_mlp_mace,E_dft_vasp_mlp_mace_delta,gamma_dft_vasp_mlp_mace_delta,E_dft_vasp_mlp_chgnet,gamma_dft_vasp_mlp_chgnet,E_dft_vasp_mlp_chgnet_delta,gamma_dft_vasp_mlp_chgnet_delta,E_mlp_mace_dft_vasp,gamma_mlp_mace_dft_vasp,E_mlp_mace_mlp_mace,gamma_mlp_mace_mlp_mace,E_mlp_mace_mlp_mace_delta,gamma_mlp_mace_mlp_mace_delta,E_mlp_mace_mlp_chgnet,gamma_mlp_mace_mlp_chgnet,E_mlp_mace_mlp_chgnet_delta,gamma_mlp_mace_mlp_chgnet_delta,E_mlp_mace_delta_dft_vasp,gamma_mlp_mace_delta_dft_vasp,E_mlp_mace_delta_mlp_mace,gamma_mlp_mace_delta_mlp_mace,E_mlp_mace_delta_mlp_mace_delta,gamma_mlp_mace_delta_mlp_mace_delta,E_mlp_mace_delta_mlp_chgnet,gamma_mlp_mace_delta_mlp_chgnet,E_mlp_mace_delta_mlp_chgnet_delta,gamma_mlp_mace_delta_mlp_chgnet_delta,E_mlp_chgnet_dft_vasp,gamma_mlp_chgnet_dft_vasp,E_mlp_chgnet_mlp_mace,gamma_mlp_chgnet_mlp_mace,E_mlp_chgnet_mlp_mace_delta,gamma_mlp_chgnet_mlp_mace_delta,E_mlp_chgnet_mlp_chgnet,gamma_mlp_chgnet_mlp_chgnet,E_mlp_chgnet_mlp_chgnet_delta,gamma_mlp_chgnet_mlp_chgnet_delta,E_mlp_chgnet_delta_dft_vasp,gamma_mlp_chgnet_delta_dft_vasp,E_mlp_chgnet_delta_mlp_mace,gamma_mlp_chgnet_delta_mlp_mace,E_mlp_chgnet_delta_mlp_mace_delta,gamma_mlp_chgnet_delta_mlp_mace_delta,E_mlp_chgnet_delta_mlp_chgnet,gamma_mlp_chgnet_delta_mlp_chgnet,E_mlp_chgnet_delta_mlp_chgnet_delta,gamma_mlp_chgnet_delta_mlp_chgnet_delta
Si,0,1,1,48,61.12163310743277,41.713305238715414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,0,1,1,48,62.003678106284866,45.269967268995835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,1,1,1,56,62.04909338289218,55.444160240767715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,1,2,2,96,61.27141666666667,88.4872830000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0,1,1,72,61.43792197065751,17.991712961162655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,1,3,3,128,60.44331634071262,139.5314100734725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,0,0,1,32,61.21675,32.010700840000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,0,1,3,104,61.46791246546809,93.27378607996576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,1,3,3,136,60.8697772484046,128.56904146182816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,1,1,1,56,61.165227855789794,51.08815665990862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0,1,2,104,60.33779851847295,28.44739598262324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,0,0,1,32,60.366249999999994,29.495761000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,0,1,1,40,60.64850796014085,59.55213237997601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,0,1,2,72,61.252149075152374,65.95452664408728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,1,2,2,80,61.0899,126.32914992000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,0,1,2,64,62.49095309536703,94.16018892029389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,1,1,2,80,61.942978188971225,78.40988336688083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,1,1,4,112,60.64850796014085,178.65639713992826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,0,1,3,96,60.57526472755576,101.22672415266513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,1,1,4,136,61.12163310743277,125.13991571614628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,0,0,1,32,64.33449999999999,42.10971664000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,1,1,4,128,60.67012185741912,135.80990180698757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,1,1,2,72,62.518240855063866,103.14731898118609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1,1,1,80,60.07810616641918,22.03525817673352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,1,1,1,48,61.542612859245594,72.9361687128086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si,1,1,2,80,61.063366422337765,72.24956402508413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0,0,1,48,60.5091,12.722062239999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,1,2,5,160,60.142880458042725,175.32982931617536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge,1,2,2,88,60.27378333333334,96.03210252000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
